ID,Description,Entry_ID,Description_Language_ID,CHD_Candidate_ID,CHD_Authority_Status,CHD_Human_Verified
ORT1888-art-000001-s1,"A., hua.",ORT1888-art-000001,crn,ORT1888-cand-000001,machine_derived,false
ORT1888-art-000002-s1,Acátoa. Nete. Acucare. Nete.,ORT1888-art-000002,crn,ORT1888-cand-000002,machine_derived,false
ORT1888-art-000003-s1,Acátezin Nete. Acahazéme. Nete.,ORT1888-art-000003,crn,ORT1888-cand-000003,machine_derived,false
ORT1888-art-000004-s1,Abaútona. Nabántona.,ORT1888-art-000004,crn,ORT1888-cand-000004,machine_derived,false
ORT1888-art-000005-s1,Acame. N.,ORT1888-art-000005,crn,ORT1888-cand-000005,machine_derived,false
ORT1888-art-000006-s1,Temubá. Ne.,ORT1888-art-000006,crn,ORT1888-cand-000006,machine_derived,false
ORT1888-art-000007-s1,Abaútona. Nabántona.,ORT1888-art-000007,crn,ORT1888-cand-000007,machine_derived,false
ORT1888-art-000008-s1,Acahutacá Ne-,ORT1888-art-000008,crn,ORT1888-cand-000008,machine_derived,false
ORT1888-art-000009-s1,Iúte Mete.,ORT1888-art-000009,crn,ORT1888-cand-000009,machine_derived,false
ORT1888-art-000010-s1,Make Muke Ake.,ORT1888-art-000010,crn,ORT1888-cand-000010,machine_derived,false
ORT1888-art-000011-s1,Bévi. Nete.,ORT1888-art-000011,crn,ORT1888-cand-000011,machine_derived,false
ORT1888-art-000012-s1,Vicurétzina. Nete.,ORT1888-art-000012,crn,ORT1888-cand-000012,machine_derived,false
ORT1888-art-000013-s1,Ayápúche. Arepoá.,ORT1888-art-000013,crn,ORT1888-cand-000013,machine_derived,false
ORT1888-art-000014-s1,Zearáte. pl. ri.,ORT1888-art-000014,crn,ORT1888-cand-000014,machine_derived,false
ORT1888-art-000015-s1,Xumuate.,ORT1888-art-000015,crn,ORT1888-cand-000015,machine_derived,false
ORT1888-art-000016-s1,Tucaixarizt. Caretsing.,ORT1888-art-000016,crn,ORT1888-cand-000016,machine_derived,false
ORT1888-art-000017-s1,Tzihcn. \\.,ORT1888-art-000017,crn,ORT1888-cand-000017,machine_derived,false
ORT1888-art-000018-s1,Tzinuiate. {>1. ri,ORT1888-art-000018,crn,ORT1888-cand-000018,machine_derived,false
ORT1888-art-000019-s1,Chuarete pl ri,ORT1888-art-000019,crn,ORT1888-cand-000019,machine_derived,false
ORT1888-art-000020-s1,Iúte. [>l. ri.,ORT1888-art-000020,crn,ORT1888-cand-000020,machine_derived,false
ORT1888-art-000021-s1,Ancáeúne.,ORT1888-art-000021,crn,ORT1888-cand-000021,machine_derived,false
ORT1888-art-000022-s1,A.ntáruneat.,ORT1888-art-000022,crn,ORT1888-cand-000022,machine_derived,false
ORT1888-art-000023-s1,Aca.ihrliihuatéme.,ORT1888-art-000023,crn,ORT1888-cand-000023,machine_derived,false
ORT1888-art-000024-s1,Ateat>v/.,ORT1888-art-000024,crn,ORT1888-cand-000024,machine_derived,false
ORT1888-art-000025-s1,Vhniuéye.,ORT1888-art-000025,crn,ORT1888-cand-000025,machine_derived,false
ORT1888-art-000026-s1,UMiuái. pl. tzi.,ORT1888-art-000026,crn,ORT1888-cand-000026,machine_derived,false
ORT1888-art-000027-s1,A^//\acat. pl. t/i.,ORT1888-art-000027,crn,ORT1888-cand-000027,machine_derived,false
ORT1888-art-000028-s1,Tuca. Neti.,ORT1888-art-000028,crn,ORT1888-cand-000028,machine_derived,false
ORT1888-art-000029-s1,Putna. Neti.,ORT1888-art-000029,crn,ORT1888-cand-000029,machine_derived,false
ORT1888-art-000030-s1,Vcácnane. N.,ORT1888-art-000030,crn,ORT1888-cand-000030,machine_derived,false
ORT1888-art-000031-s1,Vitebéchexe. Neti.,ORT1888-art-000031,crn,ORT1888-cand-000031,machine_derived,false
ORT1888-art-000032-s1,Tibeite becheme pl. tzi.,ORT1888-art-000032,crn,ORT1888-cand-000032,machine_derived,false
ORT1888-art-000033-s1,Muecube. Netiucube.,ORT1888-art-000033,crn,ORT1888-cand-000033,machine_derived,false
ORT1888-art-000034-s1,Cubihat.,ORT1888-art-000034,crn,ORT1888-cand-000034,machine_derived,false
ORT1888-art-000035-s1,Hucabihuáme. pl. tzi.,ORT1888-art-000035,crn,ORT1888-cand-000035,machine_derived,false
ORT1888-art-000036-s1,Teáutze. Nete.,ORT1888-art-000036,crn,ORT1888-cand-000036,machine_derived,false
ORT1888-art-000037-s1,Vtécbeziin. N.,ORT1888-art-000037,crn,ORT1888-cand-000037,machine_derived,false
ORT1888-art-000038-s1,"Haxéhvia, Neti.",ORT1888-art-000038,crn,ORT1888-cand-000038,machine_derived,false
ORT1888-art-000039-s1,Haxelmviat.,ORT1888-art-000039,crn,ORT1888-cand-000039,machine_derived,false
ORT1888-art-000040-s1,Muhaxihvia.,ORT1888-art-000040,crn,ORT1888-cand-000040,machine_derived,false
ORT1888-art-000041-s1,Ahee. Nete.,ORT1888-art-000041,crn,ORT1888-cand-000041,machine_derived,false
ORT1888-art-000042-s1,tal. A vial.,ORT1888-art-000042,crn,ORT1888-cand-000042,machine_derived,false
ORT1888-art-000043-s1,Aacáite.,ORT1888-art-000043,crn,ORT1888-cand-000043,machine_derived,false
ORT1888-art-000044-s1,Vicurechui. Neti.,ORT1888-art-000044,crn,ORT1888-cand-000044,machine_derived,false
ORT1888-art-000045-s1,.Muicurá hitipu.,ORT1888-art-000045,crn,ORT1888-cand-000045,machine_derived,false
ORT1888-art-000046-s1,Vpuzcheá. n.,ORT1888-art-000046,crn,ORT1888-cand-000046,machine_derived,false
ORT1888-art-000047-s1,Taixe. Ne.,ORT1888-art-000047,crn,ORT1888-cand-000047,machine_derived,false
ORT1888-art-000048-s1,Huantaixe. Nataixe.,ORT1888-art-000048,crn,ORT1888-cand-000048,machine_derived,false
ORT1888-art-000049-s1,Namihua.,ORT1888-art-000049,crn,ORT1888-cand-000049,machine_derived,false
ORT1888-art-000050-s1,Baña. Nete.,ORT1888-art-000050,crn,ORT1888-cand-000050,machine_derived,false
ORT1888-art-000051-s1,Huateavihcatacá.,ORT1888-art-000051,crn,ORT1888-cand-000051,machine_derived,false
ORT1888-art-000052-s1,Antacü. Nete.,ORT1888-art-000052,crn,ORT1888-cand-000052,machine_derived,false
ORT1888-art-000053-s1,-Anticú. Nete.,ORT1888-art-000053,crn,ORT1888-cand-000053,machine_derived,false
ORT1888-art-000054-s1,Ácacuaxa. N.,ORT1888-art-000054,crn,ORT1888-cand-000054,machine_derived,false
ORT1888-art-000055-s1,A u tacú. Ne.,ORT1888-art-000055,crn,ORT1888-cand-000055,machine_derived,false
ORT1888-art-000056-s1,Atátva. Ne.,ORT1888-art-000056,crn,ORT1888-cand-000056,machine_derived,false
ORT1888-art-000057-s1,Aeihché. Ne.,ORT1888-art-000057,crn,ORT1888-cand-000057,machine_derived,false
ORT1888-art-000058-s1,Ainuaíitéhua. Nea nautéhua.,ORT1888-art-000058,crn,ORT1888-cand-000058,machine_derived,false
ORT1888-art-000059-s1,Tzicaréte.,ORT1888-art-000059,crn,ORT1888-cand-000059,machine_derived,false
ORT1888-art-000060-s1,Tapoaketaeá. Neteu.,ORT1888-art-000060,crn,ORT1888-cand-000060,machine_derived,false
ORT1888-art-000061-s1,Tiyácuari. pl. tzi.,ORT1888-art-000061,crn,ORT1888-cand-000061,machine_derived,false
ORT1888-art-000062-s1,Tiyaxú. pl tzi.,ORT1888-art-000062,crn,ORT1888-cand-000062,machine_derived,false
ORT1888-art-000063-s1,Tipini. Ne.,ORT1888-art-000063,crn,ORT1888-cand-000063,machine_derived,false
ORT1888-art-000064-s1,Ampuéne. Acá. Iye.,ORT1888-art-000064,crn,ORT1888-cand-000064,machine_derived,false
ORT1888-art-000065-s1,Kete. Neteu.,ORT1888-art-000065,crn,ORT1888-cand-000065,machine_derived,false
ORT1888-art-000066-s1,Huaxé*.,ORT1888-art-000066,crn,ORT1888-cand-000066,machine_derived,false
ORT1888-art-000067-s1,Vipuareca. N.,ORT1888-art-000067,crn,ORT1888-cand-000067,machine_derived,false
ORT1888-art-000068-s1,"Atánehve, Ne.",ORT1888-art-000068,crn,ORT1888-cand-000068,machine_derived,false
ORT1888-art-000069-s1,Iya puche.,ORT1888-art-000069,crn,ORT1888-cand-000069,machine_derived,false
ORT1888-art-000070-s1,Ihmoéa. Neti. Taih.-Moaéhri. Ne.,ORT1888-art-000070,crn,ORT1888-cand-000070,machine_derived,false
ORT1888-art-000071-s1,Atoatüeca. Nete.,ORT1888-art-000071,crn,ORT1888-cand-000071,machine_derived,false
ORT1888-art-000072-s1,NVvátoah Nete.,ORT1888-art-000072,crn,ORT1888-cand-000072,machine_derived,false
ORT1888-art-000073-s1,Vitátoah. Nete.,ORT1888-art-000073,crn,ORT1888-cand-000073,machine_derived,false
ORT1888-art-000074-s1,Acátoah. Nete.,ORT1888-art-000074,crn,ORT1888-cand-000074,machine_derived,false
